,CAISO,ERCOT,ISONE,NYISO,PJM,SPP,MISO
Jan_min,275.814760039227,400.26893008176097,294.65735883717923,308.2688940075861,357.66006699881603,589.5215285985191,582.1828086955912
Jan_max,448.6492252242125,590.7062566100356,450.973068413642,490.27763792747646,607.7632313577554,708.640582705091,733.4453361495908
Feb_min,302.9557125873763,399.4315491694376,203.04123977559271,298.8578543824083,345.0221453062445,547.6259783025764,531.5615610114057
Feb_max,458.9123735150539,569.5636496816207,461.0154122768803,521.9789268360757,646.501376744997,726.389127109939,758.88254734705
Mar_min,277.0135221337544,435.46471118247104,323.9653810569644,331.3944116632409,350.92572319242583,579.9219057999215,480.082240237315
Mar_max,456.9788676939366,608.5618907890967,484.6139788746527,490.7828429823441,639.8813121714987,699.5649510246081,738.7605569086115
Apr_min,222.28491443089075,399.49152428083113,359.81527448378273,337.83632368022506,417.5394382848124,562.6188183072827,487.5033736912497
Apr_max,498.5287165505129,651.0561029298271,441.6607550869344,471.9962177744011,694.3621063956873,687.7326917782757,745.0959884756362
May_min,249.00081921939497,486.6868568583739,298.7880530640403,265.5963917271825,344.08210711109666,543.6325573797219,455.7147643760193
May_max,546.2969903014583,603.4534128666054,449.68551215892575,457.9050525999527,611.9201895553972,725.0163958502077,737.8002641491227
Jun_min,229.7157496502627,443.68155701374087,362.15799325296786,339.1290442684598,344.77370044228456,530.3772077727691,536.1589107263528
Jun_max,479.9800051679336,654.7405294609237,465.2507877125752,470.9813325519997,734.3812491913584,737.4504107649738,765.9626488629694
Jul_min,241.81866368877323,466.7467549075497,304.9107544903084,391.9397741862818,428.407313135156,545.0578755810886,575.4677845156734
Jul_max,501.0789582222893,632.333299235478,492.862483190599,541.878430883555,710.7682429877608,694.5226790847046,748.2700993276317
Aug_min,250.28071030324415,431.6672447301297,308.92335967995086,336.8612592027085,344.8955800675539,573.3582449258512,594.7671742419187
Aug_max,525.1296710765882,619.5390201105306,475.6504389774117,524.4417072108685,717.0369772400776,748.6536041815772,735.5609260978687
Sep_min,308.6362230035193,494.0372530517664,328.6841933620431,386.545332915228,389.21732890877223,509.2472100294341,428.2383290388027
Sep_max,485.3222550595015,649.9459180132006,577.2327891339384,535.8442101160352,707.4931886111091,730.6751007792773,729.1268702243152
Oct_min,319.43257338539985,473.8431726261059,287.1981813834421,345.79792855742687,461.41543701199794,576.0003094611967,546.2150630560052
Oct_max,476.55958068669446,631.3534283423367,486.5891932025857,510.3209520419192,693.9378295443905,726.6766296685116,726.9097250701695
Nov_min,285.3576958118968,431.50455217640786,235.89725929476717,310.7473439622215,402.17556281152395,594.581516885791,543.4508636957796
Nov_max,468.3034952891158,646.5170984331052,447.7725534706344,486.4105876719693,690.9861506843317,710.0951790971243,713.2125807280476
Dec_min,306.9908935645776,372.90539932878295,268.2373075668379,329.4364956370352,416.9979512933388,562.5231264635213,543.1820359278798
Dec_max,501.06694307671165,677.1877581622842,409.76490481965214,490.4635645997315,646.7421671284467,701.0365701701547,758.2083102219476
